Band,Age,Wing,Weight,ID
64151,5,28,40,1
64151,6,35,48,1
64151,7,36,48.5,1
64151,9,55,58.5,1
64151,10,61,65,1
64151,12,76,71,1
64151,13,83,71,1
64151,14,92,73.5,1
64151,15,99,74,1
64151,17,110,80,1
64151,20,131,81.5,1
64151,23,150,85,1
64152,4,25,36.5,2
64152,6,30,44.5,2
64152,5,31,44.5,2
64152,8,43,57.5,2
64152,9,53,62,2
64152,11,68,69,2
64152,12,74,76,2
64152,13,83,77,2
64152,14,93,86,2
64152,16,107,93,2
64152,19,128,94,2
64152,22,149,95,2
64155,8,37,47,3
64155,9,45,47,3
64155,7,34,48,3
64156,7,39,52.5,4
64156,9,51,54,4
64156,8,43,56,4
64157,14,64,52.5,5
64157,19,93,69,5
64157,21,110,72.5,5
64157,24,131,74.1,5
64157,25,137,80.1,5
64157,23,126,80.5,5
64174,5,25,34.5,6
64174,8,41,54.5,6
64174,10,57,65,6
64174,12,74,74,6
64174,19,122,76,6
64174,24,158,83,6
64174,25,163,90.1,6
64174,21,137,92.5,6
64174,22,145,93,6
64175,8,41,52.5,7
64175,10,53,54.5,7
64175,11,60,56,7
64175,12,69,56.5,7
64175,13,74,58.5,7
64175,19,119,81,7
64175,24,155,87.6,7
64175,23,149,88,7
64175,25,158,91.1,7
64175,22,138,99,7
64176,5,26,36,8
64176,6,31,40.5,8
64176,11,56,53.5,8
64177,10,39,50,9
64177,16,77,74,9
64177,15,64,75,9
64179,11,47,58.5,10
64179,16,86,76,10
64179,17,90,77.5,10
64179,19,97,80,10
64179,20,104,84.5,10
64179,21,113,88,10
64181,7,22,32,11
64181,10,34,42,11
64182,9,26,39,12
64182,18,87,64.5,12
64182,16,74,65,12
64182,20,97,67.5,12
64182,26,140,72.5,12
64182,22,115,73,12
64182,24,125,75,12
64182,28,152,75.1,12
64184,6,27,29.5,13
64184,9,36,37.5,13
64184,15,70,67.5,13
64184,16,77,70.5,13
64186,6,31,42.5,14
64186,7,39,46,14
64186,9,51,51,14
