Farm,Plot,Trt,Pre_Post,Observer,Bc,Steps,NotBc
S,1,1,Pre,Al,7,32,25
S,2,2,Pre,Al,8,30,22
S,3,4,Pre,Al,8,32,24
S,4,1,Pre,Al,7,30,23
S,5,2,Pre,Al,7,31,24
S,6,4,Pre,Al,6,31,25
S,7,Control,Pre,Al,6,30,24
R,1,1,Pre,Al,1,22,21
R,2,2,Pre,Al,5,22,17
R,3,4,Pre,Al,8,20,12
R,4,1,Pre,Al,5,23,18
R,5,2,Pre,Al,1,20,19
R,6,4,Pre,Al,2,23,21
R,7,Control,Pre,Al,3,22,19
B,1,1,Pre,Al,9,28,19
B,2,2,Pre,Al,5,25,20
B,3,4,Pre,Al,4,23,19
B,4,1,Pre,Al,5,24,19
B,5,2,Pre,Al,5,26,21
B,6,4,Pre,Al,8,30,22
B,7,Control,Pre,Al,7,20,13
F,1,1,Pre,Al,2,24,22
F,2,2,Pre,Al,9,30,21
F,3,4,Pre,Al,5,26,21
F,4,1,Pre,Al,5,24,19
F,5,2,Pre,Al,2,25,23
F,6,4,Pre,Al,6,27,21
F,7,Control,Pre,Al,9,24,15
S,1,1,Pre,Gr,0,27,27
S,2,2,Pre,Gr,7,29,22
S,3,4,Pre,Gr,7,31,24
S,4,1,Pre,Gr,4,31,27
S,5,2,Pre,Gr,4,31,27
S,6,4,Pre,Gr,9,33,24
S,7,Control,Pre,Gr,7,31,24
R,1,1,Pre,Gr,1,23,22
R,2,2,Pre,Gr,5,25,20
R,3,4,Pre,Gr,3,26,23
R,4,1,Pre,Gr,2,22,20
R,5,2,Pre,Gr,4,27,23
R,6,4,Pre,Gr,2,27,25
R,7,Control,Pre,Gr,1,25,24
B,1,1,Pre,Gr,6,29,23
B,2,2,Pre,Gr,4,27,23
B,3,4,Pre,Gr,5,25,20
B,4,1,Pre,Gr,7,27,20
B,5,2,Pre,Gr,5,26,21
B,6,4,Pre,Gr,9,27,18
B,7,Control,Pre,Gr,7,20,13
F,1,1,Pre,Gr,4,24,20
F,2,2,Pre,Gr,5,29,24
F,3,4,Pre,Gr,5,27,22
F,4,1,Pre,Gr,4,24,20
F,5,2,Pre,Gr,1,25,24
F,6,4,Pre,Gr,1,26,25
F,7,Control,Pre,Gr,3,19,16
A,1,1,Pre,Ja,4,18,14
A,2,2,Pre,Ja,3,15,12
A,3,4,Pre,Ja,1,11,10
A,4,1,Pre,Ja,5,17,12
A,5,2,Pre,Ja,4,15,11
A,6,4,Pre,Ja,7,16,9
A,7,Control,Pre,Ja,5,17,12
A,1,1,Pre,Sa,1,17,16
A,2,2,Pre,Sa,6,13,7
A,3,4,Pre,Sa,2,13,11
A,4,1,Pre,Sa,6,18,12
A,5,2,Pre,Sa,4,15,11
A,6,4,Pre,Sa,5,15,10
A,7,Control,Pre,Sa,5,16,11
S,1,1,Pre,Sh,8,32,24
S,2,2,Pre,Sh,13,35,22
S,3,4,Pre,Sh,12,33,21
S,4,1,Pre,Sh,13,35,22
S,5,2,Pre,Sh,7,34,27
S,6,4,Pre,Sh,11,34,23
S,7,Control,Pre,Sh,10,33,23
R,1,1,Pre,Sh,3,21,18
R,2,2,Pre,Sh,4,23,19
R,3,4,Pre,Sh,10,23,13
R,4,1,Pre,Sh,5,20,15
R,5,2,Pre,Sh,10,21,11
R,6,4,Pre,Sh,4,21,17
R,7,Control,Pre,Sh,1,22,21
B,1,1,Pre,Sh,5,27,22
B,2,2,Pre,Sh,10,24,14
B,3,4,Pre,Sh,3,21,18
B,4,1,Pre,Sh,9,23,14
B,5,2,Pre,Sh,5,22,17
B,6,4,Pre,Sh,13,27,14
B,7,Control,Pre,Sh,9,27,18
F,1,1,Pre,Sh,5,23,18
F,2,2,Pre,Sh,6,26,20
F,3,4,Pre,Sh,6,23,17
F,4,1,Pre,Sh,6,23,17
F,5,2,Pre,Sh,3,25,22
F,6,4,Pre,Sh,4,25,21
F,7,Control,Pre,Sh,3,22,19
A,1,1,Pre,Sh,3,17,14
A,2,2,Pre,Sh,7,17,10
A,3,4,Pre,Sh,2,15,13
A,4,1,Pre,Sh,4,21,17
A,5,2,Pre,Sh,5,18,13
A,6,4,Pre,Sh,3,18,15
A,7,Control,Pre,Sh,7,19,12
