lawa_or_NRWQN_ID,Date,Indicator_simple,Value
CCC-00005,29/10/2008,NO3-N_ppb,0.771
CCC-00005,25/11/2008,NO3-N_ppb,1.589
CCC-00005,11/12/2008,NO3-N_ppb,1.543
CCC-00005,8/01/2009,NO3-N_ppb,1.564
CCC-00005,10/02/2009,NO3-N_ppb,1.607
CCC-00005,12/03/2009,NO3-N_ppb,1.374
CCC-00005,23/04/2009,NO3-N_ppb,1.6
CCC-00005,26/05/2009,NO3-N_ppb,1.506
CCC-00005,25/06/2009,NO3-N_ppb,1.505
CCC-00005,21/07/2009,NO3-N_ppb,1.5
CCC-00005,20/08/2009,NO3-N_ppb,1.5
CCC-00005,1/09/2009,NO3-N_ppb,1.6
CCC-00005,15/10/2009,NO3-N_ppb,1.606
CCC-00005,17/11/2009,NO3-N_ppb,1.521
CCC-00005,1/12/2009,NO3-N_ppb,1.445
CCC-00005,12/01/2010,NO3-N_ppb,1.528
CCC-00005,9/02/2010,NO3-N_ppb,1.653
CCC-00005,31/03/2010,NO3-N_ppb,1.363
CCC-00005,20/04/2010,NO3-N_ppb,1.605
CCC-00005,11/05/2010,NO3-N_ppb,1.828
CCC-00005,10/06/2010,NO3-N_ppb,2.038
CCC-00005,27/07/2010,NO3-N_ppb,2.042
CCC-00005,24/08/2010,NO3-N_ppb,1.995
CCC-00005,21/09/2010,NO3-N_ppb,1.882
CCC-00005,19/10/2010,NO3-N_ppb,2.01
CCC-00005,16/11/2010,NO3-N_ppb,1.816
CCC-00005,16/12/2010,NO3-N_ppb,2.107
CCC-00005,18/01/2011,NO3-N_ppb,2.049
CCC-00005,15/02/2011,NO3-N_ppb,2.341
CCC-00005,15/03/2011,NO3-N_ppb,1.6
CCC-00005,19/04/2011,NO3-N_ppb,2.344
CCC-00005,17/05/2011,NO3-N_ppb,2.313
CCC-00005,28/06/2011,NO3-N_ppb,2.539
CCC-00005,27/07/2011,NO3-N_ppb,1.766
CCC-00005,30/08/2011,NO3-N_ppb,2.521
CCC-00005,27/09/2011,NO3-N_ppb,2.138
CCC-00005,11/10/2011,NO3-N_ppb,2.377
CCC-00005,8/11/2011,NO3-N_ppb,2.539
CCC-00005,8/12/2011,NO3-N_ppb,2.096
CCC-00005,24/01/2012,NO3-N_ppb,2.599
CCC-00005,21/02/2012,NO3-N_ppb,2.596
CCC-00005,20/03/2012,NO3-N_ppb,1.832
CCC-00005,24/04/2012,NO3-N_ppb,2.344
CCC-00005,22/05/2012,NO3-N_ppb,2.579
CCC-00005,19/06/2012,NO3-N_ppb,2.337
CCC-00005,3/07/2012,NO3-N_ppb,1.682
