lawa_or_NRWQN_ID,Date,Indicator_simple,Value
ECAN-00093,8/01/2004,NO3-N_ppb,4.1
ECAN-00093,5/02/2004,NO3-N_ppb,4.2
ECAN-00093,26/03/2004,NO3-N_ppb,4.2
ECAN-00093,15/04/2004,NO3-N_ppb,4
ECAN-00093,14/05/2004,NO3-N_ppb,4.4
ECAN-00093,30/06/2004,NO3-N_ppb,4.6
ECAN-00093,15/07/2004,NO3-N_ppb,4.4
ECAN-00093,27/08/2004,NO3-N_ppb,4.5
ECAN-00093,16/09/2004,NO3-N_ppb,4.5
ECAN-00093,14/10/2004,NO3-N_ppb,4.2
ECAN-00093,18/11/2004,NO3-N_ppb,4.3
ECAN-00093,16/12/2004,NO3-N_ppb,4.2
ECAN-00093,13/01/2005,NO3-N_ppb,4.4
ECAN-00093,3/02/2005,NO3-N_ppb,4.3
ECAN-00093,3/03/2005,NO3-N_ppb,4.2
ECAN-00093,7/04/2005,NO3-N_ppb,4.4
ECAN-00093,5/05/2005,NO3-N_ppb,4.3
ECAN-00093,9/06/2005,NO3-N_ppb,4.6
ECAN-00093,7/07/2005,NO3-N_ppb,4.6
ECAN-00093,17/08/2005,NO3-N_ppb,4.6
ECAN-00093,15/09/2005,NO3-N_ppb,4.4
ECAN-00093,28/10/2005,NO3-N_ppb,4.4
ECAN-00093,9/11/2005,NO3-N_ppb,4.3
ECAN-00093,7/12/2005,NO3-N_ppb,4.5
ECAN-00093,20/01/2006,NO3-N_ppb,4.1
ECAN-00093,2/02/2006,NO3-N_ppb,4
ECAN-00093,9/03/2006,NO3-N_ppb,4.3
ECAN-00093,6/04/2006,NO3-N_ppb,4.1
ECAN-00093,4/05/2006,NO3-N_ppb,4.4
ECAN-00093,8/06/2006,NO3-N_ppb,4.4
ECAN-00093,14/07/2006,NO3-N_ppb,4.9
ECAN-00093,18/08/2006,NO3-N_ppb,5.2
ECAN-00093,7/09/2006,NO3-N_ppb,5.8
ECAN-00093,19/10/2006,NO3-N_ppb,5.8
ECAN-00093,22/11/2006,NO3-N_ppb,5.3
ECAN-00093,15/12/2006,NO3-N_ppb,5.5
ECAN-00093,4/01/2007,NO3-N_ppb,5.9
ECAN-00093,8/02/2007,NO3-N_ppb,5.2
ECAN-00093,8/03/2007,NO3-N_ppb,5.1
ECAN-00093,24/05/2007,NO3-N_ppb,5.1
ECAN-00093,14/06/2007,NO3-N_ppb,5.3
ECAN-00093,17/07/2007,NO3-N_ppb,5.8
ECAN-00093,9/08/2007,NO3-N_ppb,5.3
ECAN-00093,7/09/2007,NO3-N_ppb,5.4
ECAN-00093,11/10/2007,NO3-N_ppb,4.9
ECAN-00093,9/11/2007,NO3-N_ppb,5.1
ECAN-00093,6/12/2007,NO3-N_ppb,4.7
ECAN-00093,22/01/2008,NO3-N_ppb,4.5
ECAN-00093,12/02/2008,NO3-N_ppb,4.3
ECAN-00093,13/03/2008,NO3-N_ppb,4.2
ECAN-00093,3/04/2008,NO3-N_ppb,4.7
ECAN-00093,14/05/2008,NO3-N_ppb,4.9
ECAN-00093,5/06/2008,NO3-N_ppb,5
ECAN-00093,8/07/2008,NO3-N_ppb,5.4
ECAN-00093,14/08/2008,NO3-N_ppb,5.3
ECAN-00093,2/09/2008,NO3-N_ppb,6
ECAN-00093,1/10/2008,NO3-N_ppb,6.1
ECAN-00093,4/11/2008,NO3-N_ppb,6.2
ECAN-00093,10/12/2008,NO3-N_ppb,5.6
ECAN-00093,13/01/2009,NO3-N_ppb,5.5
ECAN-00093,10/02/2009,NO3-N_ppb,5.4
ECAN-00093,3/03/2009,NO3-N_ppb,5.5
ECAN-00093,15/04/2009,NO3-N_ppb,5.6
ECAN-00093,12/05/2009,NO3-N_ppb,5.8
ECAN-00093,18/06/2009,NO3-N_ppb,6.1
ECAN-00093,9/07/2009,NO3-N_ppb,6
ECAN-00093,6/08/2009,NO3-N_ppb,5.8
ECAN-00093,17/09/2009,NO3-N_ppb,5.9
ECAN-00093,8/10/2009,NO3-N_ppb,5.9
ECAN-00093,3/11/2009,NO3-N_ppb,5.7
ECAN-00093,17/12/2009,NO3-N_ppb,5.7
ECAN-00093,13/01/2010,NO3-N_ppb,5.2
ECAN-00093,2/02/2010,NO3-N_ppb,5.3
ECAN-00093,16/03/2010,NO3-N_ppb,5.1
ECAN-00093,8/04/2010,NO3-N_ppb,5.3
ECAN-00093,13/05/2010,NO3-N_ppb,5.5
ECAN-00093,10/06/2010,NO3-N_ppb,5.7
ECAN-00093,8/07/2010,NO3-N_ppb,5.2
ECAN-00093,4/08/2010,NO3-N_ppb,5.8
ECAN-00093,9/09/2010,NO3-N_ppb,4.5
ECAN-00093,19/10/2010,NO3-N_ppb,6.8
ECAN-00093,4/11/2010,NO3-N_ppb,4.5
ECAN-00093,2/12/2010,NO3-N_ppb,6.5
ECAN-00093,18/01/2011,NO3-N_ppb,3.9
ECAN-00093,15/03/2011,NO3-N_ppb,6.9
ECAN-00093,12/04/2011,NO3-N_ppb,7.1
ECAN-00093,4/05/2011,NO3-N_ppb,6.9
ECAN-00093,9/06/2011,NO3-N_ppb,6.5
ECAN-00093,7/07/2011,NO3-N_ppb,6.3
ECAN-00093,4/08/2011,NO3-N_ppb,6.5
ECAN-00093,8/09/2011,NO3-N_ppb,6
ECAN-00093,18/10/2011,NO3-N_ppb,6.6
ECAN-00093,9/11/2011,NO3-N_ppb,6.6
ECAN-00093,8/12/2011,NO3-N_ppb,6.4
ECAN-00093,10/01/2012,NO3-N_ppb,5.9
ECAN-00093,31/01/2012,NO3-N_ppb,3
ECAN-00093,22/02/2012,NO3-N_ppb,5.8
ECAN-00093,8/03/2012,NO3-N_ppb,6.2
ECAN-00093,4/04/2012,NO3-N_ppb,5.6
ECAN-00093,22/05/2012,NO3-N_ppb,6.3
ECAN-00093,26/06/2012,NO3-N_ppb,6.4
ECAN-00093,12/07/2012,NO3-N_ppb,1.7
ECAN-00093,16/08/2012,NO3-N_ppb,6.3
ECAN-00093,6/09/2012,NO3-N_ppb,5.9
ECAN-00093,10/10/2012,NO3-N_ppb,5.8
ECAN-00093,14/11/2012,NO3-N_ppb,5.5
ECAN-00093,6/12/2012,NO3-N_ppb,6.6
ECAN-00093,10/01/2013,NO3-N_ppb,6.1
ECAN-00093,11/02/2013,NO3-N_ppb,5.6
ECAN-00093,12/03/2013,NO3-N_ppb,6
ECAN-00093,22/04/2013,NO3-N_ppb,6.1
ECAN-00093,23/05/2013,NO3-N_ppb,6.4
ECAN-00093,28/06/2013,NO3-N_ppb,6.6
ECAN-00093,16/07/2013,NO3-N_ppb,6.7
ECAN-00093,15/08/2013,NO3-N_ppb,7.4
ECAN-00093,18/09/2013,NO3-N_ppb,7.9
ECAN-00093,15/10/2013,NO3-N_ppb,7.8
ECAN-00093,21/11/2013,NO3-N_ppb,7.2
ECAN-00093,11/12/2013,NO3-N_ppb,6.8
ECAN-00093,22/01/2014,NO3-N_ppb,6.4
ECAN-00093,12/02/2014,NO3-N_ppb,7
ECAN-00093,20/03/2014,NO3-N_ppb,7.3
ECAN-00093,14/04/2014,NO3-N_ppb,7
ECAN-00093,22/05/2014,NO3-N_ppb,7.8
ECAN-00093,18/06/2014,NO3-N_ppb,7.7
ECAN-00093,24/07/2014,NO3-N_ppb,8
ECAN-00093,19/08/2014,NO3-N_ppb,7.6
ECAN-00093,17/09/2014,NO3-N_ppb,7.5
ECAN-00093,22/10/2014,NO3-N_ppb,7.3
ECAN-00093,20/11/2014,NO3-N_ppb,7.4
ECAN-00093,16/12/2014,NO3-N_ppb,6.9
ECAN-00093,21/01/2015,NO3-N_ppb,6.5
ECAN-00093,19/02/2015,NO3-N_ppb,6.4
ECAN-00093,20/03/2015,NO3-N_ppb,6.4
ECAN-00093,22/04/2015,NO3-N_ppb,6.6
ECAN-00093,18/05/2015,NO3-N_ppb,7.1
ECAN-00093,18/06/2015,NO3-N_ppb,6.9
ECAN-00093,22/07/2015,NO3-N_ppb,7.2
ECAN-00093,21/08/2015,NO3-N_ppb,6.7
ECAN-00093,24/09/2015,NO3-N_ppb,7.2
ECAN-00093,20/10/2015,NO3-N_ppb,6.7
ECAN-00093,19/11/2015,NO3-N_ppb,6.6
ECAN-00093,21/12/2015,NO3-N_ppb,6.7
